id|origen|titulo|link|precio|moneda|monedaSimbolo|condicion|imagen|preciOld
23|li|Apple iPhone 5s 16GB Desbloqueado-Negro|/p/apple-iphone-5s-16gb-desbloqueado-negro-vf44c3|1548.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-0963-2062611-1-product.jpg|2299.00
24|li|Apple iPhone 6 16GB 4G LTE Desbloqueado - Space Grey+ Lámina Protectora|/p/apple-iphone-6-16gb-4g-lte-desbloqueado-space-grey-la-mina-protectora-judnkq|2149.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-2327-9097141-1-product.jpg|3499.00
25|li|Smartphone iPro Trans II 3.5'' Doble chip 3G - Plateado.|/p/smartphone-ipro-trans-ii-35-doble-chip-3g-plateado-s1568d|249.99|Sol|S/.|nuevo|//media.linio.com.pe/p/ipro-5437-459629-1-product.jpg|389.00
26|li|Smartphone BlackBerry Z10 16GB 8MP 4.2'' Desbloqueado - Blanco|/p/smartphone-blackberry-z10-16gb-8mp-42-desbloqueado-blanco-qfbolq|729.00|Sol|S/.|nuevo|//media.linio.com.pe/p/blackberry-2970-5280421-1-product.jpg|1299.00
27|li|Samsung Galaxy Grand Prime DUOS Quad Core 8MP + 5MP 8GB - Negro|/p/samsung-galaxy-grand-prime-duos-quad-core-8mp-5mp-8gb-negro-lfjm05|649.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-7626-8481031-1-product.jpg|1599.00
28|li|Smartphone Samsung Galaxy S5 Mini G800F 16GB 8MP 4G LTE Desbloqueado - Negro|/p/smartphone-samsung-galaxy-s5-mini-g800f-16gb-8mp-4g-lte-desbloqueado-negro-n3q5d1|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-7380-739919-1-product.jpg|1579.00
29|li|Smartphone Leotec Argon A140B (4.0" WVGA 800X400-DUAL CORE-4GB-512MB-DUALSIM-CAM 2MP-ANDROID 4.2)|/p/smartphone-leotec-argon-a140b-40-wvga-800x400-dual-core-4gb-512mb-dualsim-cam-2mp-android-42--s1o5xb|179.00|Sol|S/.|nuevo|//media.linio.com.pe/p/leotec-6019-4430431-1-product.jpg|399.00
30|li|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Blanco|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-blanco-ylzzje|569.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-1459-0769921-1-product.jpg|999.00
31|li|Huawei Ascend Y221 - Dual Core 1Ghz 4GB 2MP Android 4.4 KitKat - Negro|/p/huawei-ascend-y221-dual-core-1ghz-4gb-2mp-android-44-kitkat-negro-ymn7xw|209.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-6838-0685141-1-product.jpg|399.00
32|li|Smartphone Huawei Ascend Y221 Dual Sim Android 4.4 - Negro|/p/smartphone-huawei-ascend-y221-dual-sim-android-44-negro-lg4alz|219.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-9610-8376331-1-product.jpg|349.00
